Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,37.9388206159123,36.8630576799203,29.3911956273162,30.7879670650336,28.2897383137567,29.7989655280121,24.6938230129889,29.1359284351699,26.0782527819623,23.5779686892153,23.6436386470918,22.587453161034,22.009298022763,20.5469658803948,20.9658976104561
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,35.9007899107974,39.2952951590215,51.6418702727331,54.6409764928012,53.6209806102615,55.8121447107506,35.1488526889007,30.1867024360462,27.0722161011123,24.385606827255,23.4986421224732,21.9482726271296,21.6003946824972,21.4685975065441,20.1807892883943,18.6108049934108,17.5296438165367,17.1285505934542,16.837088098923,16.7944019813011,17.9558556659906,18.2267655190053,18.7667988940703,19.5651755699076,19.9901534448586,19.7802182377971,19.9067237914091
Algeria,DZA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,10.3814320673053,9.22439306043879,11.2001526769671,11.2006862647703,9.23231639402002,9.54486094730282,10.8093382304174,8.72958782945165,11.4750035677096,11.1069753203455,8.39505870834107,9.74943045279238,9.22498638073472,9.8105530156137,9.44047161588671,7.69131219048114,7.5430776407323,7.57063112169223,6.58667750445662,9.34336655134035,8.46644185558123,8.11034735557068,8.77068803927155,9.85111793371892,10.2863995118628,11.5860331634814,12.295779686707
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,0.487497832272485,0.459110473457676,0.406166343579803,0.444193487671749,0.442399275920114,0.405274295449163,0.382391576055206,0.399345781654627,0.442280559393527,0.434939370362639,0.499694105109431,0.534685932590804,0.612256498120194,0.577337772940781,0.496149201132471,0.47019470478715,0.492101388264151
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,16.3907130467884,28.5714285714286,7.89473684210526,10.5442176870748,6.07580002949418,6.65321372200356,7.02686916586973,9.00201794169947,12.9111824086392,6.29025682837342,5.66468956353549,8.15637702246655,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.78073863835594,1.78030705814231,1.80268060947773,1.74543146848041,1.57653988014401,1.6430544737845,1.61543691276239,1.71897921396171,1.6666805751773,1.66763577643578,1.58953974311117,1.61272529904851,1.73029178870791,1.7495265852447,1.6099710563426,1.75781767310714,1.65320455132786,1.60765261113387,1.54931148778712,1.49670709252756,1.6276262253683,1.92552923109623,1.88087873969873,1.99815666348515,1.57067840155539,1.67455413108606,1.64237654071171
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,8.12367620787488,6.71649176009431,5.99078709147934,5.13682631298815,5.082640615289,5.35147321986538,5.61088150916912,5.22196688508805,5.25274859444737,4.45783939927272,4.67991713691322,4.56853311400305,10.2066670932241,10.3282172969824,8.36248661002826,7.93875427420939,6.93557229126392,7.45235394606923,7.3189545972436,5.27362346890139,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.35390413957503
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,15.9809183064997,23.6165139917179,28.4857667880976,49.2557622421718,43.4629669256674,40.6907728860082,34.7950476734458,29.4132416270924,30.8472489232151,26.9591171417191,23.2134790301107,25.5900022859538,23.4490301706817,21.5290414316945,22.5955260564584,19.0959225699412,18.7155789846042,18.2498628100602,16.3084468042341,16.9117957405199,16.9991486336913,20.3253482527647,17.9126819526397,18.4347628834968,18.0720363470662,17.2231200318056,16.39047353385
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,0.503989920201596,0.50761421319797,0.48582995951417,0.437636761487965,0.402549480040255,0.383292096465087,0.410021828071138,0.405263479447352,0.402353103702339,0.401312280100494,0.391614142234658,0.386578789694428,0.393591790404297,0.401578206610497,0.381582396385472,0.448459565982352,0.449380714888877,0.459125111592909,..,..,..,..,..
